"(PDH-CSV 4.0) (Eastern Standard Time)(300)","\\Ozymandias\LogicalDisk(_Total)\Avg. Disk sec/Read","\\Ozymandias\LogicalDisk(_Total)\Avg. Disk sec/Write","\\Ozymandias\LogicalDisk(_Total)\Disk Transfers/sec","\\Ozymandias\LogicalDisk(C:)\Avg. Disk sec/Read","\\Ozymandias\LogicalDisk(C:)\Avg. Disk sec/Write","\\Ozymandias\LogicalDisk(C:)\Disk Transfers/sec","\\Ozymandias\LogicalDisk(D:)\Avg. Disk sec/Read","\\Ozymandias\LogicalDisk(D:)\Avg. Disk sec/Write","\\Ozymandias\LogicalDisk(D:)\Disk Transfers/sec","\\Ozymandias\LogicalDisk(E:)\Avg. Disk sec/Read","\\Ozymandias\LogicalDisk(E:)\Avg. Disk sec/Write","\\Ozymandias\LogicalDisk(E:)\Disk Transfers/sec","\\Ozymandias\LogicalDisk(F:)\Avg. Disk sec/Read","\\Ozymandias\LogicalDisk(F:)\Avg. Disk sec/Write","\\Ozymandias\LogicalDisk(F:)\Disk Transfers/sec","\\Ozymandias\LogicalDisk(G:)\Avg. Disk sec/Read","\\Ozymandias\LogicalDisk(G:)\Avg. Disk sec/Write","\\Ozymandias\LogicalDisk(G:)\Disk Transfers/sec","\\Ozymandias\LogicalDisk(H:)\Avg. Disk sec/Read","\\Ozymandias\LogicalDisk(H:)\Avg. Disk sec/Write","\\Ozymandias\LogicalDisk(H:)\Disk Transfers/sec","\\Ozymandias\LogicalDisk(I:)\Avg. Disk sec/Read","\\Ozymandias\LogicalDisk(I:)\Avg. Disk sec/Write","\\Ozymandias\LogicalDisk(I:)\Disk Transfers/sec","\\Ozymandias\LogicalDisk(J:)\Avg. Disk sec/Read","\\Ozymandias\LogicalDisk(J:)\Avg. Disk sec/Write","\\Ozymandias\LogicalDisk(J:)\Disk Transfers/sec","\\Ozymandias\Memory\Available MBytes","\\Ozymandias\Processor(_Total)\% Processor Time","\\Ozymandias\System\Processor Queue Length","\\Ozymandias\SQLServer:Buffer Manager\Buffer cache hit ratio","\\Ozymandias\SQLServer:Buffer Manager\Page life expectancy","\\Ozymandias\SQLServer:Buffer Manager\Page lookups/sec","\\Ozymandias\SQLServer:Buffer Manager\Page reads/sec","\\Ozymandias\SQLServer:Databases(_Total)\Transactions/sec","\\Ozymandias\SQLServer:General Statistics\Active Temp Tables","\\Ozymandias\SQLServer:General Statistics\User Connections","\\Ozymandias\SQLServer:Memory Manager\Target Server Memory (KB)","\\Ozymandias\SQLServer:Memory Manager\Total Server Memory (KB)","\\Ozymandias\SQLServer:SQL Statistics\Batch Requests/sec","\\Ozymandias\SQLServer:SQL Statistics\SQL Compilations/sec","\\Ozymandias\SQLServer:SQL Statistics\SQL Re-Compilations/sec"
"01/16/2020 23:59:05.574"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","170835"," ","0","99.999282217660308","12242"," "," "," ","1049","247","870400008","870401384"," "," "," "
"01/17/2020 00:00:05.573","0.00076079376268680982","0.0025726199585192973","907.10427201372534","0.0067438460519515797","0.00089109717731095583","20.199723991412995","0.00036040557719723034","0.00021315405434698713","9.1165420984347421","0.00034568365743246394","0","0.31666233979937863","0.00036460558150562154","4.9917318506274134e-005","8.7498804418249367","0","9.8222318200260218e-005","15.216458749306984","0.00075694252745813547","0.0028100775641225024","853.48833795400947","0","0","0","0","0.0001084798264322777","0.016666438936809403","170842","11.770286049316514","0","99.999659204378545","12263","527028.24869753188","3098.54099493692","307.32913399476536","1049","259","870400008","870402808","255.21317943936236","92.798732000154743","1.6666438936809402"
"01/17/2020 00:01:05.574","0.00067418199323380156","0.00039298127657043353","1008.7868634938552","0.00032767947571283885","0.001669266142391984","82.79481815660526","0.00041167934131305391","0.00021447216229116342","7.6828524899748443","0.00040080262402192405","6.8203924487166194e-005","19.132135918635836","0.00032313327609020655","7.5839878656194153e-005","2.0832029528131355","0","5.8807221542663827e-005","84.744696120438348","0.00067820572543838664","0.00022160211533073977","812.34915785538783","0","0","0","0","0","0","170841","13.422254504840748","0","100","12285","661594.39307850297","3441.6679311543926","1763.5729573571105","1049","261","870400008","870402016","250.4176605517614","90.710989377295178","1.6165654913829932"
"01/17/2020 00:02:05.576","0.000526611655285208","0.00042249986877857963","1579.9681695019513","0.00011271981964828856","0.0015945143575581957","215.28657876910475","0","0.00025954028125296292","6.6995823397724186","0.00029621666891047261","2.9900038899325328e-005","127.27539882796508","0.00023749995508384281","6.2186567168159203e-005","66.995823397724195","0","5.4735024129647008e-005","124.57556713880307","0.00056407310243815042","0.00012428785025529033","1039.1352190285818","0","0","0","0","0","0","170842","24.433833406643192","0","100","12306","1177518.208728963","3553.7284561842071","884.86150330899648","1050","272","870400008","870402288","212.28676578114695","72.71213370255488","1.6998940265094198"
"01/17/2020 00:03:05.578","0.0006612340105187338","0.00043628423037134575","2215.8388999063814","0.00033299146721365246","0.0012325767934808609","575.49149286678062","0","0.00022078503487179808","7.299469300233115","0.00014896714626795059","2.9385759784030793e-005","617.20512679025899","0.00023333139137565617","3.3496216651310179e-005","73.161347552564777","0","7.7373746907982762e-005","61.612187221374036","0.00066518791567252427","0.00010998395164877177","857.37099913194709","0","0","0","0","4.2075657010875642e-005","23.698277043222578","170822","28.718888204322401","0","99.999955830544778","12327","1337006.3611117173","2935.9365460108852","287.87907007357722","1049","275","870400008","870402136","189.30290361038345","66.978463738897005","2.0331855128503196"
"01/17/2020 00:04:05.563","0.00065136077867690944","0.00027217408494718581","920.11138646079371","0.00029531952748875601","0.0011215145480130534","54.461525492660805","0","0.00024611797133386167","6.1179613883705279","0.00019801380082497752","2.4332838685980707e-005","30.806519470596012","0.00022281330203530211","6.6302992506761283e-005","12.51931608355931","0","0.0001121445961521291","9.2852983469274779","0.00065287079021499527","0.00019027903313316482","801.25289954231459","0","0","0","0","3.5018296911901413e-005","5.6678661363650669","170835","18.166482274108375","0","99.999898899521284","12348","1092326.6484109836","2933.4374592647778","282.79317981557938","1049","264","870400008","870400136","115.8911922941469","36.190992300142824","1.4002963395725461"
"01/17/2020 00:05:05.564","0.00069991150734053363","0.00013796530654987214","852.70189404691496","0.000210159663744538","0.0007686086479767745","13.699227145637918","0","0.00023543699419282808","7.0995994696371696","0.00036219370620435576","2.6630312001429877e-005","2.4665275152730075","0.00025406130778762187","7.6279877952195271e-005","0.71662623754553589","0","0.00010330071607478648","9.8327786081829345","0.000700734051979436","0.00011705939438227437","818.88713507063846","0","0","0","0","0","0","170835","17.610047966736197","0","99.999039317838808","12368","1108057.9045719418","2938.7008771832429","2262.6556835545298","1049","272","870400008","870401728","220.63755253175233","86.678443290100745","1.3665895692728824"
"01/17/2020 00:06:05.565","0.00059853706219421571","0.00051678416165501788","1325.7588364119927","0.0014699176481317629","0.0019346369687005401","187.17281573529971","0","0.00024379837280920144","6.4663033127322844","0.00025347388015607746","3.49938182392373e-005","68.51281680062479","0.00028770863057528195","6.3879897792163532e-005","0.44997471506126718","0","4.7534635501976383e-005","169.2904872441612","0.00059931982236158081","0.00017778286770916044","893.86643860411357","0","0","0","0","0","0","170499","21.065929724898059","0","99.999684375066579","12389","1108411.8995515278","3238.4013613751899","338.93095482225891","1050","267","870400008","870404168","163.65747044080163","60.71325507289616","1.3332584149963471"
"01/17/2020 00:07:05.566","0.00044366918960416532","0.00098420743911041531","2827.0074498618374","0.00038415938534498343","0.00205037974286659","479.25634165935776","0","0.00028184801963140389","5.6663475384839046","0.00036449704661051219","4.7017700790673593e-005","210.50481105467705","0.00026687136787760627","5.620562435671531e-005","0.88328358688131459","0","4.885251190451344e-005","435.29215105194442","0.0004477429040700185","0.0010528239662055525","1695.404514970493","0","0","0","0","0","0","170484","23.369489806664934","0","99.999939364135955","12410","1478299.5256372618","3151.8891525536174","383.52839971508854","1049","256","870400008","870403080","211.23810308906909","77.762287101664413","1.3665897004578829"
"01/17/2020 00:08:05.552","0.00065037443897423555","0.00067537532413623573","1894.6019161787817","0.00015199975680038911","0.002102522230023838","431.03385491610294","0","0.00028169698212064952","5.5844197469503225","0.00031475811707666786","4.2290928208274209e-005","150.9293623548902","0.00034247474615805321","8.4553007572330744e-005","6.1178568571067711","0","4.7873542554160555e-005","502.7478064127605","0.00065185370083013186","0.00018610492054228395","788.03664088830624","0","0","0","0","4.434436254655687e-005","10.151975002664914","170835","19.704114341304724","0","100","12430","1584165.4727279567","2977.1625215122172","2222.7324185637672","1049","264","870400008","870403928","201.10579052898115","73.681000840359474","1.7003307886236803"
